"","Land","Naam","Geboortedatum","Seizoenen"
"36","België","Bové, Charles Charles Bové","08-01-1908","1927-1935"
"37","België","Bové, Georges Georges Bové","08-07-1921","1939-1942"
"38","België","Brocken, David David Brocken","18-02-1971","1999"
"39","België","Broos, Hugo Hugo Broos","10-04-1952","1970-1983"
"40","Denemarken","Brylle, Kenneth Kenneth Brylle","22-05-1959","1979-1984"
"41","Rusland","Boelykin, Dmitri Dmitri Boelykin","20-11-1979","2008-2009"
"42","België","Bruno, Massimo Massimo Bruno","17-09-1993","2011-2014, 2016-nu"
"43","Nederland","Büttner, Alexander Alexander Büttner","11-02-1989","2016"
"44","België","Calvo, Daniel Daniel Calvo","11-07-1979","1998-2001"
"45","Spanje","Capel, Diego Diego Capel","16-02-1988","2016-2017"
"46","België","Caudron, Jean Jean Caudron","15-11-1895","1921-1935"
"47","Spanje","Cayuela Peiró, Jorge Jorge Cayuela Peiró","15-09-1944","1964-1967"
"48","België","Ceuppens, Kristiaan Kristiaan Ceuppens","31-10-1959","1978-1981"
"49","België","Chatelle, Thomas Thomas Chatelle","31-03-1981","2008-2010"
"50","Argentinië","Chavarría, Pablo Pablo Chavarría","02-01-1988","2010-2011"
"51","Roemenië","Chipciu, Alexandru Alexandru Chipciu","18-05-1989","2016-nu"
"52","België","Claeys, Geoffrey Geoffrey Claeys","05-10-1974","1998-1999"
"53","België","Clerbois, Marcel Marcel Clerbois","14-03-1934","1952-1955"
"54","België","Cluytens, Albert Albert Cluytens","16-11-1955","1981-1982"
"55","België","Coeck, Ludo Ludo Coeck","25-09-1955","1972-1983"
"56","België","Colasse, André André Colasse","24-04-1943","1970-1971"
"57","Frankrijk","Colin, Maxime Maxime Colin","25-11-1991","2014-2015"
"58","Guinee","Conté, Ibrahima Ibrahima Conté","03-04-1991","2014-2016"
"59","België","Cordier, Michaël Michaël Cordier","27-03-1984","2009, 2010-2012"
"60","België","Cornelis, Jean Jean Cornelis","02-08-1941","1958-1971"
"61","België","Cornelisse, Yuri Yuri Cornelisse","08-05-1975","1998-1999"
"62","België","Coudyzer, Xavier Xavier Coudyzer","20-11-1942","1961-1963"
"63","België","Crasson, Bertrand Bertrand Crasson","05-10-1971","1989-1996, 1998-2003"
"64","België","Culot, Jacques Jacques Culot","05-08-1933","1955-1961"
"65","Ivoorkust","Cyriac, Gohi Bi Gohi Bi Cyriac","05-08-1990","2012-2015"
"66","België","Czerniatynski, Alex Alex Czerniatynski","28-07-1960","1982-1985"
"67","Hongarije","Dacsev, Miklós Miklós Dacsev","27-10-1932","1959-1962"
"68","België","De Becker, Louis Louis De Becker","08-07-1917","1933-1941"
"69","België","De Bilde, Gilles Gilles De Bilde","09-06-1971","1995-1996, 2001-2003"
"70","België","De Boeck, Glen Glen De Boeck","22-08-1971","1995-2005"
"71","België","De Bolle, Edy Edy De Bolle","26-09-1949","1972-1975"
"72","Nederland","de Bree, Nico Nico de Bree","16-09-1944","1977-1980"
"73","België","De Caerlé, Jules Jules De Caerlé","28-03-1933","1953-1955"
"74","België","De Coninck, René René De Coninck","12-01-1937","1955-1959"
"75","België","De Coninck, Wim Wim De Coninck","23-06-1960","1997-1999"
"76","België","De Corte, Marcel Marcel De Corte","25-11-1929","1950-1954, 1955-1959"
"77","België","De Cuyper, Jean Jean De Cuyper","06-05-1918","1937-1948"
"78","België","De Cuyper, René René De Cuyper","12-12-1921","1939-1943"
"79","België","De Drijver, Albert Albert De Drijver","14-07-1915","1933-1938"
"80","België","De Drijver, Jean Jean De Drijver","09-02-1933","1952-1957"
"81","België","De Gelas, Frans Frans De Gelas","10-07-1928","1945-1958"
"82","België","De Greef, Walter Walter De Greef","13-11-1957","1981-1986"
"83","België","De Groote, Michel Michel De Groote","18-10-1955","1975-1977, 1979-1989"
"84","Nederland","de Jong, Boy Boy de Jong","10-04-1994","2017-nu"
"85","Nederland","de Jong, René René de Jong","17-05-1954","1980-1982"
"86","Frankrijk","De Maio, Sebastian Sebastian De Maio","05-03-1987","2016"
"87","België","De Man, Mark Mark De Man","27-04-1983","2002-2008"
"88","België","De Nul, André André De Nul","14-07-1946","1973-1975"
"89","België","De Sart, Jean-François Jean-François De Sart","18-12-1961","1991-1993"
"90","België","De Sutter, Tom Tom De Sutter","03-07-1985","2009-2013"
"91","België","De Vlieger, Geert Geert De Vlieger","16-10-1971","1995-1998, 1999"
"92","België","De Vogelaere, Charles Charles De Vogelaere","16-11-1933","1953-1961"
"93","België","De Vriese, Dirk Dirk De Vriese","03-12-1958","1982-1983"
"94","België","De Wael, André André De Wael","24-07-1904","1924-1933"
"95","België","De Wael, François François De Wael","10-11-1922","1939-1951"
"96","België","De Wael, Gaston Gaston De Wael","31-12-1934","1952-1961"
"97","België","De Wilde, Filip Filip De Wilde","05-07-1964","1987-1996, 1998-2003"
"98","België","De Witte, Chris Chris De Witte","13-01-1978","1995-1997"
"99","België","De Wolf, Michel Michel De Wolf","19-01-1958","1990-1994"
"100","Nederland","de Zeeuw, Demy Demy de Zeeuw","26-05-1983","2013-2014"
"101","Liberia","Debbah, James James Debbah","14-12-1967","1997"
"102","België","Debusschere, Benjamin Benjamin Debusschere","07-12-1968","1990-1992"
"103","België","Defever, Roger Roger Defever","10-05-1925","1947-1948"
"104","België","Defevere, Emile Emile Defevere","26-02-1897","1919-1926"
"105","België","Defour, Steven Steven Defour","15-04-1988","2014-2016"
"106","België","Degelaen, Dany Dany Degelaen","26-06-1957","1975-1978"
"107","België","Degryse, Marc Marc Degryse","04-09-1965","1989-1995"
"108","België","Delorge, Laurent Laurent Delorge","21-07-1979","2005-2006"
"109","België","Delvigne, Camille Camille Delvigne","26-09-1954","1972-1974"
"110","België","Demol, Stéphane Stéphane Demol","11-03-1966","1984-1988"
"111","België","Dendoncker, Leander Leander Dendoncker","25-04-1995","2013-nu"
"112","België","Deraeve, Werner Werner Deraeve","14-03-1950","1969-1974"
"113","België","Deraeymaeker, Arnold Arnold Deraeymaeker","03-10-1916","1935-1946"
"114","België","Deroy, Gérard Gérard Deroy","08-10-1959","1976-1981, 1982-1983"
"115","België","Desanghere, Gérard Gérard Desanghere","16-11-1947","1969-1971"
"116","België","Deschacht, Olivier Olivier Deschacht","16-02-1981","2001-nu"
"117","België","Devrindt, Johan Johan Devrindt","14-04-1944","1964-1970"
"118","België","Dezutter, Emiel Emiel Dezutter","12-08-1960","1980-1983"
"119","België","Dheedene, Didier Didier Dheedene","22-01-1972","1997-2001"
"120","Senegal","Diandy, Christophe Christophe Diandy","12-06-1989","2009-2011"
"121","Nederland","Diemen, Patrick van Patrick van Diemen","12-06-1972","1998-2001"
"122","Brazilië","Diogo","15-03-1989","2011"
"123","Ivoorkust","Dindane, Aruna Aruna Dindane","26-11-1980","2000-2005"
"124","België","Dockx, Jean Jean Dockx","24-05-1941","1971-1978"
"125","België","Doll, Olivier Olivier Doll","09-06-1973","1994-2004"
"126","Ivoorkust","Doumbia, Idrissa Idrissa Doumbia","14-04-1998","2016-2017"
"127","Servië","Ðuricic, Filip Filip Ðuricic","30-01-1992","2016"
"128","Nederland","Dusbaba, Johnny Johnny Dusbaba","14-03-1956","1977-1981"
"129","Frankrijk","Ehret, Fabrice Fabrice Ehret","28-09-1979","2004-2005"
"130","Zweden","Ejderstedt, Inge Inge Ejderstedt","24-12-1946","1970-1974"
"131","Congo-Kinshasa","Ekakia, Elos Elonga Elos Elonga Ekakia","02-05-1974","1999-2000"
"132","België","Electeur, Didier Didier Electeur","07-09-1960","1978-1983"
"133","Brazilië","Elizeu, Antonio Antonio Elizeu","17-10-1945","1970-1971"
"134","België","Emmers, Marc Marc Emmers","25-02-1966","1992-1997"
"135","Nigeria","Ezekiel, Imoh Imoh Ezekiel","24-10-1993","2015-2016"
"136","Hongarije","Fazekas, Árpád Árpád Fazekas","23-06-1930","1962-1963"
"137","Brazilië","Canesin, Fernando Fernando Canesin","27-02-1992","2011-2013"
