"","X1","X2","X3","X4","X5","X6"
"6684",2790667,"Mosselbank","Mosselbank",NA,51.16667,4.25
"6685",2790668,"Bois Mossaire","Bois Mossaire",NA,50.32953,5.60965
"6686",2790669,"Mospert","Mospert",NA,50.63128,6.10764
"6687",2790670,"Moskou","Moskou","Moscou,Moskou",51.06288,2.95842
"6688",2790671,"Mosenfagne","Mosenfagne",NA,50.55,6
"6689",2790672,"Mosbeux","Mosbeux",NA,50.56667,5.68333
"6690",2790673,"Morville","Morville",NA,50.3376,5.53482
"6691",2790674,"Morville","Morville","Morville",50.23425,4.74129
"6692",2790676,"Mortsel","Mortsel","Mortensella,Mortsel,mo ce er,mrtzl,<U+041C><U+043E><U+0440><U+0442><U+0441><U+0435><U+043B>,<U+0645><U+0631><U+062A><U+0632><U+0644>,<U+83AB><U+7B56><U+5C14>",51.16697,4.45127
"6693",2790677,"Mortsel","Mortsel","Mortsel",51.1737,4.45997
"6694",2790678,"Bois de Mortroux","Bois de Mortroux",NA,50.69878,5.76826
"6695",2790679,"Mortroux","Mortroux","Dalhem (Mortroux)",50.7116,5.75289
"6696",2790681,"Mortinsart","Mortinsart",NA,49.70558,5.58701
"6697",2790682,"Mortier","Mortier",NA,50.71667,5.73333
"6698",2790683,"Mortier","Mortier","Blegny (Mortier),Blégny (Mortier)",50.68428,5.74327
"6699",2790685,"Mortel Ven","Mortel Ven",NA,51.33333,4.56667
"6700",2790686,"Mortelstraat","Mortelstraat",NA,51.16667,4.3
"6701",2790687,"Mortels Rot","Mortels Rot",NA,50.95437,4.81853
"6702",2790688,"Mortehan","Mortehan","Mortehan,Te Mortehan",49.80019,5.21287
"6703",2790689,"Morsgrasbos","Morsgrasbos","Morsgrags-Bosch,Morsgrasbos",50.95,4.91667
"6704",2790690,"Morsaint","Morsaint","Morsain,Morsaint",50.72266,4.69322
"6705",2790691,"Mornimont","Mornimont","Jemeppe-sur-Sambre (Mornimont)",50.45903,4.70447
"6706",2790693,"Mormont","Mormont","Mormont",50.32566,5.59257
"6707",2790694,"Mormont","Mormont",NA,50.09145,5.32625
"6708",2790696,"Morlies","Morlies",NA,50.54354,3.49211
"6709",2790697,"Morlanwelz-Mariemont","Morlanwelz-Mariemont","Morlanwelz,Morlanwelz-Mariemont",50.45502,4.24519
"6710",2790698,"Morlanwelz","Morlanwelz","Marlanwe,Marlanwè,Morlanwelz",50.45,4.23333
"6711",2790699,"Morkhoven","Morkhoven","Morckhoven,Morkhoven",51.11888,4.81877
"6712",2790700,"Morkhoven","Morkhoven",NA,51.21667,4.46667
"6713",2790702,"Moriville","Moriville",NA,50.06204,5.53741
"6714",2790703,"Bois de Moriéval","Bois de Morieval",NA,49.88333,5.7
"6715",2790704,"Château de Moriansart","Chateau de Moriansart",NA,50.66618,4.50673
"6716",2790705,"Bois de Morialmé","Bois de Morialme",NA,50.26806,4.53141
"6717",2790706,"Morialmé","Morialme","Florennes (Morialme),Florennes (Morialmé)",50.27557,4.56576
"6718",2790708,"Morhet","Morhet","Morhet",49.96241,5.58448
"6719",2790710,"Moreux","Moreux","Maureux,Moreux",50.67006,3.50778
"6720",2790711,"Morestraat","Morestraat","Moorestraat,Morestraat",50.91667,3.75
"6721",2790712,"Moressée","Moressee",NA,50.30909,5.3064
"6722",2790713,"Moresnet","Moresnet","Plombieres (Moresnet),Plombières (Moresnet)",50.72146,5.98987
"6723",2790715,"Morenhoek","Morenhoek","Moorenhoek,Morenhoek",51.10151,4.4283
"6724",2790716,"Morelmont","Morelmont",NA,50.50874,4.32363
"6725",2790717,"Moregem","Moregem","Mooregem,Moregem",50.85069,3.56149
"6726",2790719,"Moreau","Moreau",NA,50.73333,3.68333
"6727",2790720,"Morcelle","Morcelle",NA,50.69348,3.6912
"6728",2790721,"Mopertingen","Mopertingen","Bilzen (Mopertingen)",50.86123,5.5759
"6729",2790723,"Moortsele","Moortsele","Moortsele,Moortzeele",50.95862,3.77753
"6730",2790725,"Moortelstraat","Moortelstraat",NA,51.11667,4.16667
"6731",2790726,"Moortelhoek","Moortelhoek",NA,51.15963,4.09536
"6732",2790727,"Moortebeek","Moortebeek",NA,50.84555,4.28618
"6733",2790728,"Moortebeek","Moortebeek","Moortebeek,Moortelbeke",51.18333,4.05
"6734",2790729,"Moorslede","Moorslede","Moorslede",50.8919,3.06117
"6735",2790730,"Moorslede","Moorslede","Moorslede,Mooslee,Morslede,Môoslee,mo er si lai de,mwrslwd,<U+041C><U+043E><U+0440><U+0441><U+043B><U+0435><U+0434><U+0435>,<U+0645><U+0648><U+0631><U+0633><U+0644><U+0648><U+062F>,<U+83AB><U+5C14><U+65AF><U+83B1><U+5FB7>",50.87402,3.07586
"6736",2790731,"Moors Kamp","Moors Kamp",NA,51.1,5.78333
"6737",2790732,"Moorsem","Moorsem","Moorsem,Moorsom",51.00511,4.78849
"6738",2790733,"Moorsele","Moorsele","Moorseele,Moorsele",50.8409,3.15971
"6739",2790735,"Moorselbos","Moorselbos",NA,50.85,4.54435
"6740",2790736,"Moorsel","Moorsel","Moorsel",50.94743,4.09825
"6741",2790737,"Moorsel","Moorsel",NA,50.85114,4.53739
"6742",2790739,"Moorsberg","Moorsberg",NA,51.03333,5.53333
"6743",2790740,"Moorlegem","Moorlegem",NA,50.92239,3.89412
"6744",2790741,"Moorhoek","Moorhoek",NA,51.01012,4.27499
"6745",2790742,"Moor","Moor",NA,51.19176,4.5884
"6746",2790743,"Monville","Monville",NA,50.28618,5.43128
"6747",2790744,"Montzen","Montzen","Plombieres (Montzen),Plombières (Montzen)",50.70793,5.96223
"6748",2790746,"Ruisseau de Monty","Ruisseau de Monty",NA,50.7,5.78333
"6749",2790747,"Bois Monty","Bois Monty",NA,49.86667,5.2
"6750",2790748,"Monty","Monty",NA,50.01537,5.63526
"6751",2790749,"Mont-sur-Marchienne","Mont-sur-Marchienne","Charleroi (Mont-sur-Marchienne)",50.38997,4.40732
"6752",2790751,"Monts et Vallée","Monts et Vallee",NA,50.71667,3.98333
"6753",2790752,"Mont Saint-Pont","Mont Saint-Pont",NA,50.7013,4.35479
"6754",2790753,"Mont Saint-Pierre","Mont Saint-Pierre",NA,50.69818,4.85659
"6755",2790754,"Ferme de Mont Saint-Jean","Ferme de Mont Saint-Jean",NA,50.68585,4.40994
"6756",2790755,"Mont Saint-Jean","Mont Saint-Jean",NA,50.68765,4.40226
"6757",2790756,"Mont-Saint-Guibert","Mont-Saint-Guibert","Mon Sen Giber,Mon-Sen-Giber,Mont-Saint-Guibert,Mont-Sint-Wubert,meng-sheng ji bei er,mwn-sn-zhybh,<U+041C><U+043E><U+043D> <U+0421><U+0435><U+043D> <U+0413><U+0438><U+0431><U+0435><U+0440>,<U+041C><U+043E><U+043D>-<U+0421><U+0435><U+043D>-<U+0413><U+0438><U+0431><U+0435><U+0440>,<U+0645><U+0648><U+0646>-<U+0633><U+0646>-<U+0698><U+06CC><U+0628><U+0647>,<U+8499>-<U+5723><U+5409><U+8D1D><U+5C14>",50.63427,4.61061
"6758",2790757,"Mont-Saint-Guibert","Mont-Saint-Guibert","Mont-Saint-Guibert",50.63422,4.61134
"6759",2790758,"Mont-Sainte-Geneviève","Mont-Sainte-Genevieve","Mont-Sainte-Genevieve,Mont-Sainte-Geneviève",50.37457,4.23658
"6760",2790760,"Mont-Sainte-Aldegonde","Mont-Sainte-Aldegonde","Mont-Sainte-Aldegonde",50.43006,4.23263
"6761",2790762,"Mont-Saint-Aubert","Mont-Saint-Aubert","Mont-Saint-Aubert",50.65429,3.40067
"6762",2790764,"Mont-Saint-André","Mont-Saint-Andre","Ramillies (Mont-Saint-Andre),Ramillies (Mont-Saint-André)",50.65632,4.86609
"6763",2790765,"Bois des Monts","Bois des Monts",NA,50.11317,4.71889
