"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1557","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:36:16,FALSE,NA,"982326135689183232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DitchD",65,TRUE,FALSE,NA,NA
"1558","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:36:13,FALSE,NA,"982326125899800578",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jon_Salah11",65,TRUE,FALSE,NA,NA
"1559","@LMarkec50 geeft ineens zijn visitekaartje af met een assist. Al stond de verdediging van @SportCharleroi serieus te slapen #CHAAND",FALSE,0,"LMarkec50",2018-04-06 18:36:06,FALSE,NA,"982326094182473728","569858803","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cedrdvol",0,FALSE,FALSE,NA,NA
"1560","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:35:56,FALSE,NA,"982326054659518464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Croquetinho_10",65,TRUE,FALSE,NA,NA
"1561","Zo moet het #CHAAND",FALSE,1,NA,2018-04-06 18:35:50,FALSE,NA,"982326027669172225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Croquetinho_10",0,FALSE,FALSE,NA,NA
"1562","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:35:41,FALSE,NA,"982325989714915330",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LEGAT31",65,TRUE,FALSE,NA,NA
"1563","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:35:39,FALSE,NA,"982325980034318337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guri_vk",65,TRUE,FALSE,NA,NA
"1564","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:35:36,FALSE,NA,"982325968806318081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DEVOSTOM1",65,TRUE,FALSE,NA,NA
"1565","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:35:12,FALSE,NA,"982325868172263425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rinko0916",65,TRUE,FALSE,NA,NA
"1566","Jaja Morioka<ed><U+00A0><U+00BD><ed><U+00B2><U+009C><U+26AA><U+FE0F> #chaand",FALSE,0,NA,2018-04-06 18:35:10,FALSE,NA,"982325862312960000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SKLLCHNL",0,FALSE,FALSE,NA,NA
"1567","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:34:59,FALSE,NA,"982325814661468160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NOCHILDRVN",65,TRUE,FALSE,NA,NA
"1568","alle fucking keren hetzelfde
<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BE><ed><U+00B4><U+00AC><ed><U+00A0><U+00BD><ed><U+00B1><U+00BF>
zet speler op bank #gouden11,
speler scoort ... #Morioka 

#chaand",FALSE,1,NA,2018-04-06 18:34:57,FALSE,NA,"982325805807210497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeWaaslandwolf",0,FALSE,FALSE,NA,NA
